# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\altera\projects\hps\de1_soc_GHRD\DE1_SoC.csv
# Generated on: Sun Feb 01 21:39:02 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
ADC_CS_n,Output,PIN_AJ4,3B,B3B_N0,PIN_AJ4,3.3-V LVTTL,,,,,,,,,,,,
ADC_DIN,Output,PIN_AK4,3B,B3B_N0,PIN_AK4,3.3-V LVTTL,,,,,,,,,,,,
ADC_DOUT,Input,PIN_AK3,3B,B3B_N0,PIN_AK3,3.3-V LVTTL,,,,,,,,,,,,
ADC_SCLK,Output,PIN_AK2,3B,B3B_N0,PIN_AK2,3.3-V LVTTL,,,,,,,,,,,,
AUD_ADCDAT,Input,PIN_K7,8A,B8A_N0,PIN_K7,3.3-V LVTTL,,,,,,,,,,,,
AUD_ADCLRCK,Bidir,PIN_K8,8A,B8A_N0,PIN_K8,3.3-V LVTTL,,,,,,,,,,,,
AUD_BCLK,Bidir,PIN_H7,8A,B8A_N0,PIN_H7,3.3-V LVTTL,,,,,,,,,,,,
AUD_DACDAT,Output,PIN_J7,8A,B8A_N0,PIN_J7,3.3-V LVTTL,,,,,,,,,,,,
AUD_DACLRCK,Bidir,PIN_H8,8A,B8A_N0,PIN_H8,3.3-V LVTTL,,,,,,,,,,,,
AUD_XCK,Output,PIN_G7,8A,B8A_N0,PIN_G7,3.3-V LVTTL,,,,,,,,,,,,
CLOCK2_50,Input,PIN_AA16,4A,B4A_N0,PIN_AA16,3.3-V LVTTL,,,,,,,,,,,,
CLOCK3_50,Input,PIN_Y26,5B,B5B_N0,PIN_Y26,3.3-V LVTTL,,,,,,,,,,,,
CLOCK4_50,Input,PIN_K14,8A,B8A_N0,PIN_K14,3.3-V LVTTL,,,,,,,,,,,,
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,PIN_AF14,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[12],Output,PIN_AC14,3B,B3B_N0,PIN_AC14,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_AE14,3B,B3B_N0,PIN_AE14,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_AE13,3B,B3B_N0,PIN_AE13,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_AF15,3B,B3B_N0,PIN_AF15,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_AF13,3B,B3B_N0,PIN_AF13,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_AG15,3B,B3B_N0,PIN_AG15,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[6],Output,PIN_AF11,3B,B3B_N0,PIN_AF11,3.3-V LVTTL,,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_AG13,3B,B3B_N0,PIN_AG13,3.3-V LVTTL,,,,,,,,,,,,
